word	en_google_translation
Reise	trip
Tatsache	fact
Mama	mummy
Körper	body
Jacke	jacket
Höhe	height
Tiefe	depth
Freude	joy
Problem	problem
Schwerkraft	gravity
Karte	map
Pfütze	puddle
Hilfe	help
Mut	courage
Chance	chance
Bessere	better ones
Film	movie
Ausdruck	expression
Alptraum	nightmare
Wirklichkeit	reality
Anhänger	trailer
Konto	account
Monat	month
Haß	hate
Dirigent	conductor
Inhalt	contents
Flur	hallway
Teppich	carpet
Hauptgrund	main reason
Herrscher	ruler
Vorschlag	suggestion
Sprache	language
Höhepunkt	climax
Persönlichkeit	personality
Kleine	small
Miene	expression
Lohn	salary
Dankbarkeit	gratitude
Geruch	odor
Minute	minute
Gute	good
Nagel	nail
Name	surname
Melodie	melody
Plan	plan
Rahmen	frame
Schmerz	pain
Schnee	snow
Tiger	tiger
Tante	aunt
Gefolgsleute	retainers
Ton	volume
Sender	channel
Traum	dream
Rose	rose
Begriff	expression
Abschied	farewell
Tumult	tumult
Typ	type
Stuhl	chair
Unfall	accident
Versuch	attempt
Wärter	warden
Nebel	fog
Wunsch	wish
Ausführung	execution
Zauberer	wizard
Leute	people
Dame	lady
Energie	energy
Auftrag	order
Eltern	parents
Enkel	grandson
Oma	granny
Erleichterung	relief
Entsetzen	fright
Bruder	brother
Finger	finger
Erwartung	expectation
Frosch	frog
Maulwurf	mole
Gier	greed
Macht	power
Glut	embers
Hemmschwelle	inhibition threshold
Wesen	beings
Hexe	witch
Seele	soul
Gott	god
Rast	rest
Leiche	corpse
Geheimnis	secret
Liebe	love
Schüler	pupils
Held	hero
Entschlossenheit	determination
Nachbarin	neighbor
Insel	island
Wegweiser	signpost
Straßenrand	roadside
Natur	nature
Besondere	special
Königreich	kingdom
Widerspruch	contradiction
Sichtweite	visibility
Unabhängigkeit	independence
Welle	wave
Geist	spirit
Münze	coin
Ziege	goat
Schwiegertochter	daughter in law
Enkelkind	grandchild
Unwesen	mischief
Sehnsucht	longing
Experte	expert
Model	model
Bericht	report
Bus	bus
Haltestelle	bus stop
Einwand	objection
Woche	week
Schreibtisch	desk
Mühe	effort
Stimme	agree
Dorf	village
Lächeln	smile
Emotion	emotion
Schublade	drawer
Gehirn	brain
Schnelle	quick
Revier	territory
Ähnliche	similar
Duft	fragrance
Klang	sound
Verlegenheit	embarrassment
Dunkelheit	darkness
Soldat	soldier
Gewehr	gun
Stille	silence
Vierteljahrhundert	quarter century
Erfahrung	experience
Autorität	authority
Wirkung	effect
Störung	disturbance
Futter	feed
Ausblick	outlook
Kälte	cold
Wildschwein	wild boar
Zauberei	sorcery
Lauf	run
Aufsehen	attention
Gemüse	vegetables
Neue	new
Rang	rank
Geschichte	story
Kindheit	childhood
Heilige	saints
Märtyrer	martyr
Keks	biscuit
Transportmittel	mode of transport
Misere	misery
Spiegel	mirror
Kutsche	coach
Spaziergang	stroll
Innenstadt	downtown
Schwangerschaft	pregnancy
Langeweile	boredom
Fußball	football
Bürgermeister	mayor
Wand	wall
Risiko	risk
Strom	electricity
Zuschauer	viewers
Wunder	wonder
Engel	angel
Dasein	to be there
Epilepsie	epilepsy
%	%
Bevölkerung	population
Erkrankung	illness
Blut	blood
Zuhause	at home
Rollstuhl	wheelchair
Recht	right
Teufel	devil
Bett	bed
Kontinent	continent
Ungewöhnliche	unusual ones
Pflicht	duty
Stern	star
Anerkennung	recognition
Training	training
Disziplin	discipline
Stelle	job
Leidenschaft	passion
Kontakt	contact
Bier	beer
Feind	enemy
Boden	floor
Flug	flight
Ästhetik	aesthetics
Bann	spell
Hauch	whiff
Frost	frost
Kleinstadt	town
Atmosphäre	the atmosphere
Flughafen	airport
Wende	turn
Irrtum	mistake
Verzicht	waiver
Frust	frustration
Text	text
Lage	position
Ausmaß	extent
Parkplatz	parking spot
Überlegung	consideration
Trost	consolation
Blinde	blind people
Hölle	hell
Affäre	affair
Zauberspruch	magic spell
Kochen	cook
Masse	dimensions
Faden	thread
Spiel	game
Schwester	sister
Patientin	patient
Kaufmann	merchant
Unvereinbarkeit	incompatibility
Forst	forest
Konstellation	constellation
Benehmen	behavior
Geschwister	siblings
Brief	letter
Aktivität	activity
Sicherheit	security
Echo	echo
Hauptperson	main character
Storch	stork
Nein	no
Umfeld	environment
Ablenkung	diversion
Fassade	facade
Dynamik	dynamics
Ruine	ruin
Menge	crowd
Absage	cancellation
Heiterkeit	hilarity
Veränderung	change
Leere	empty
Eile	hurry
Ring	ring
Rechnung	the invoice
Adresse	address
Telefonnummer	telephone number
Fleisch	meat
Gedankengang	train of thought
Eingang	entrance
Gewißheit	certainty
Innere	inner
Bein	leg
Blei	lead
Geduld	patience
Verwirrung	confusion
Rätsel	puzzle
Unendliche	infinites
Stillschweigen	silence
Unterwerfung	submission
Zweifel	doubt
Vogel	bird
Norden	north
Schlafzimmer	bedroom
Unterschied	difference
Sandstrand	sandy beach
Magie	magic
Gegenwart	present
Rind	beef
Regel	rule
Aufenthalt	stay
Bedauern	regret
Lebewesen	creature
Unheil	mischief
Funktion	function
Bemühung	effort
Abneigung	antipathy
Heim	home
Milde	mildness
Hoffnung	hope
Königssohn	king's son
Schnauze	snout
Kram	junk
Baracke	barracks
Kreuzung	crossing
Schlange	snake
Treffen	meet
Element	element
Thema	theme
Stellenwert	status
Freundin	girlfriend
Friseur	barber
Gefahr	danger
Malaria	malaria
Mücke	mosquito
Arm	poor
Wagen	dare
Linke	left
Scheune	barn
Urlaub	vacation
Frechheit	impudence
Zeitpunkt	time
Läufer	runner
Laut	loud
Lippe	lip
Keller	basement, cellar
Dank	thanks to
Gleichgesinnten	like-minded people
Diplomatie	diplomacy
Halluzination	hallucination
Erde	earth
Reihe	row
Volk	people
Eintracht	concord
Register	register
Vorschein	appearance
Anwesen	estate
Weihnachtsmann	santa claus
Computer	computer
Zuhilfenahme	assistance
Bildschirm	screen
Schrank	wardrobe
Fähigkeit	capability
Schwert	sword
Scheide	vagina
Fahrt	drive
Neugier	curiosity
Furcht	fear
Lady	lady
Eröffnung	opening
Restaurant	restaurant
Vorstellung	performance
Treiben	to drive
Vorort	on site
Egoismus	egoism
Zug	train
Maske	mask
Achtung	danger
Bewunderung	admiration
Mitmensch	fellow human being
Ort	location
Kalender	calendar
Sonntag	sunday
Dienstag	tuesday
Anruf	call
Forschung	research
Distanz	distance
Ablauf	sequence
Schwäche	weakness
Partner	partner
Eigenart	peculiarity
Aspekt	aspect
Kindesalter	childhood
Geselle	journeyman
Westen	west
Route	route
Eintrag	entry
Dezember	december
Vorführung	demonstration
Herrschaft	domination
Prozedur	procedure
Patient	patient
Entdeckung	discovery
Unruhe	restlessness
Taschentuch	handkerchief
Bruchteil	fraction
Sau	sow
Meer	sea
Symbiose	symbiosis
Phase	phase
Szenario	scenario
Ruhm	fame
Unmut	displeasure
Betrachten	regard
Tat	did
Lust	desire
Markt	market
Not	distress
Bewohner	residents
Bekanntschaft	acquaintance
Pause	break
Funke	spark
Programm	program
Umgebung	vicinity
Rückkehr	return
Finsternis	darkness
Zeitvertreib	pastime
Enttäuschung	disappointment
Ausbruch	outbreak
Geschöpf	creature
Chauffeur	chauffeur
Ball	ball
Nebenraum	adjoining room
Journalist	journalist
Hof	court
Familie	family
Schreiber	scribe
Gefühlswelt	emotional world
Antlitz	face
Standpunkt	position
Gebrauch	use
Bilanz	balance sheet
Verteidiger	defender
Wasseroberfläche	water surface
Hülle	covering
Pflanze	plant
Türe	door
Monitor	monitor
Kammer	chamber
Einsatz	mission
Vorfall	incident
Notiz	note
Deutlichkeit	clarity
Heilung	cure
Opfer	victim
Ankunft	arrival
Speer	spear
Post	post
Geringste	least
Dollar	dollar
Religion	religion
Sorte	variety
Mitschüler	classmate
Semester	semester
Studium	studies
Idee	idea
Vermieter	landlord
Miete	rent
Photo	photo
Spur	track
Nervosität	nervousness
Schimmer	shine
Meinung	opinion
Gedränge	hustle
Katastrophe	catastrophe
Engländer	english people
Gespann	team
Nachmittag	afternoon
Stolz	proud
Gardine	curtain
Ratschlag	advice
Offenbarung	epiphany
Plätzchen	cookie
Schule	school
Vermutung	supposition
Zwischenfall	incident
Klinik	clinic
Ausdauer	endurance
Beginn	beginning
Menschsein	humanity
Gesichtszug	facial feature
Tierwelt	wildlife
Dunkel	dark
Leser	reader
Angestellte	employee
Gerede	talk
Hundert	hundred
Kilometer	kilometre
Heimweh	homesickness
Papa	father
Einwohner	resident
Traurigkeit	sadness
Streichholz	match
Bar	bar
Gebiß	denture
Onkel	uncle
Last	load
Fortschritt	progress
Umweg	detour
Kleinigkeit	small thing
Erschütterung	vibration
Lebensabschnitt	stage of life
Besonderheit	special feature
Augenblicks	moment
Braut	bride
Zorn	anger
Aufgabe	task
Tote	dead
Zwang	obligation
Waage	scale
Jüngste	youngest
Beantwortung	answer
Unwissenheit	ignorance
Gewissen	conscience
Pubertät	puberty
Nest	nest
Person	person
Computerspiel	computer game
Rolle	role
Tor	goal
Neugierde	curiosity
Taschenlampe	flashlight
Begrüßung	greeting
Lebende	living
Pracht	splendor
Doktor	doctor
Spitze	great
Publikum	audience
Abendstunde	evening hour
Donnerstag	thursday
Kuh	cow
Verständnis	understanding
Mond	moon
Wichtige	important
Szene	scene
Abendbrot	dinner
Besitzer	owner
Sammlung	collection
Pflege	care
Gruppe	group
Süßigkeit	candy
Orange	orange
Klo	loo
Häuschen	cottage
Osterhase	easter bunny
Maus	mouse
Mittelfeld	midfield
Zigeuner	gypsies
Sofa	sofa
Handtuch	hand towel
Draht	wire
Senior	senior
Ältestenrat	council of elders
Häuptling	chief
Schein	appearance
Kollege	colleague
Rede	speech
Kellner	waiter
Blume	flower
Jahreszeit	season
Gesichtsausdruck	facial expression
Katze	cat
Anteil	portion
Vergessenheit	oblivion
Milch	milk
Versteck	hideaway
Grab	dig
Krieger	warrior
Fahrgast	passenger
Gras	grass
Landkarte	map
Schwimmen	to swim
Aufruhr	revolt
Vorsicht	caution
Höhle	cave
Weihnachtszeit	christmas time
Gesellschaft	company
Beispiel	example
Grad	degree
Mulde	trough
Kurs	course
Brötchen	bread rolls
Frühstück	breakfast
Videokamera	video camera
Mütze	cap
Reich	rich
Kampf	battle
Schacht	shaft
Pilot	pilot
Stall	barn
Ware	goods
Anzug	men's suit
Pistole	gun
Infusion	infusion
Arzt	physician
Flugzeug	airplane
Bär	bear
Deutsche	german
Uhu	uhu
Hahn	faucet
Rhythmus	rhythm
Schöne	lovely
Unterstützung	support
Tresen	counter
Selbstmord	suicide
Frühjahr	spring
Abfahrt	departure
Ferse	heel
Elend	misery
Knall	bang
Euphorie	euphoria
Erziehungsberechtigte	legal guardian
Herbst	autumn
Schaden	damage
Fleck	spot
Alter	old
Anfall	seizure
Absperrung	barrier
Meisterwerk	masterpiece
Sitzung	meeting
Balkon	balcony
Kapelle	chapel
Bank	bank
Taxi	taxi
cm	cm
Stroh	straw
Gans	goose
Vase	vase
Essen	eat
Haufe	haufe
Ast	branch
Stamm	tribe
Topf	pot
Denkmal	monument
Laden	load
Maschine	machine
Führer	leader
Karawane	caravan
Relativitätstheorie	theory of relativity
Birke	birch
Moos	moss
Beute	prey
Hausarzt	family doctor
Aufstieg	ascension
T	t
Leiter	director
Stadtbücherei	city library
B	b
Hut	cap
Landstraße	country road
Befehl	command
Klasse	class
Lehrer	teacher
Busch	bush
Lebensmittel	groceries
Bürger	citizens
Wohlstand	prosperity
Schuldige	culprit
Naturschutzgebiet	nature reserve
Blech	sheet
Kurator	curator
Papagei	parrot
Hochzeit	wedding
Elster	magpie
Paradies	paradise
Stirn	forehead
Narbe	scar
Loch	hole
Paar	couple
Politiker	politician
Chef	boss
Unternehmen	pursue
Witwe	widow
Kasten	crate
Sonnenstrahl	ray of sunshine
Silhouette	silhouette
Erste	first
Nachbar	neighbor
Großvater	grandfather
Wachstum	growth
Nutz	useful
Bühne	stage
Kiste	box
Dienststelle	department
Techniker	technician
Fund	find
Expedition	expedition
Dozent	lecturer
Skepsis	skepticism
Klinikum	clinic
Anfrage	inquiry
Lunge	lung
Tasche	bag
Kittel	smock
Passant	passerby
Zeuge	witness
Regen	rain
Rauschen	rush
Lärm	noise
Ferne	distance
Erliegen	succumb
Schloß	lock
Schale	peel
Limousine	limousine
Kinderklinik	children's clinic
Kaserne	barracks
Geschrei	shouting
Werdegang	career
Erscheinungsbild	appearance
Ausstrahlung	radiance
Umriß	outline
April	april
Landschaft	landscape
Standesamt	registry office
Afrikaner	african
Erbse	pea
Schuß	shot
Quadratmeter	square meters
Schlaganfall	stroke
Knopf	button
Scheibe	disc
Anrufbeantworter	answering machine
Kiosk	kiosk
Kombination	combination
Hauptstadt	capital city
Festung	fortress
Geburt	birth
Schwierigkeit	difficulty
Graben	dig
Termin	meeting
Stockwerk	floor
Infizierte	infected
Ruf	call
Kassette	cassette
Start	begin
Verstorbene	deceased
Diskette	diskette
Party	party
Konferenz	conference
All	alles
Holz	wood
Maß	dimension
Auslieferung	delivery
Café	coffee shop
Gemäuer	walls
Haupt	main
Eis	ice
Hunger	hunger
Faxe	faxes
Saft	juice
Leitung	line
Hinweis	notice
Villa	villa
Stadtrand	suburban
Tafel	blackboard
Pulver	powder
Dampf	steam
Gefangene	prisoners
Bibliothek	library
Mediziner	medical professionals
Salsa	salsa
Reiser	reiser
Waldrand	edge of the forest
Jubel	cheers
Druck	pressure
s	s
Fell	fur
Wirbel	whirl
Lektion	lesson
Wochenende	weekend
Vieh	cattle
Statist	extra
Älteste	oldest
Sarg	coffin
Auserwählte	chosen ones
Nächste	next
Großmutter	grandmother
Jüngling	youth
Göttin	goddess
Fossil	fossil
Kreislauf	circulation
Verbrecher	criminal
Versager	failure
Wurm	worm
Star	star
Kindergarten	kindergarten
Tierfreund	animal lover
Schutzengel	guardian angel
Scheiße	fuck
Schwein	pig
Forschungsprojekt	research project
Erholung	recreation
Energiequelle	energy source
Nachricht	news
Schoß	lap
Übergang	crossing
Suche	search
Sicht	view
Schokolade	chocolate
Auszeichnung	award
Erfolg	success
Opa	grandpa
Geschäft	business
Abstammung	ancestry
Charakter	character
Beziehung	relationship
Aufwand	expense
Büro	office
Tee	tea
Ultraschalluntersuchung	ultrasound examination
Retter	savior
Auslöser	trigger
Streß	stress
Alltägliche	everyday ones
Speicher	storage
Rücken	back
Torte	cake
Altersheim	retirement home
Telefon	phone
Gewinnspiel	contest
Bohne	bean
Dienst	service
Weihnachtsgeschenk	christmas gift
Kompaß	compass
Schlag	blow
Nase	nose
Zugang	access
Verantwortung	responsibility
Panik	panic
Decke	ceiling
Tempel	temple
Vollkommenheit	perfection
Verabredung	appointment
Uni	university
Acker	field
Tour	trip
Wesentliche	essentials
Geburtstag	birthday
Bekannte	acquaintance
Alkohol	alcohol
Fahrkarte	ticket
Gabe	gabe
Gunst	favor
Ahnung	idea
Spätsommer	late summer
Stich	sting
Hintern	butt
Sonnenuntergang	sunset
Todesangst	fear of death
Pädagogik	pedagogy
Geschenk	gift
Service	service
Einbrecher	housebreaker
Kur	cure
Kette	chain
Kreuz	cross
Mitleid	pity
Bob	bob
Rad	wheel
Idiot	idiot
Schachtel	box
Rückschlag	setback
Schmuck	jewelry
Kästchen	casket
Volkshochschule	community college
Rucksack	backpack
Agent	agent
Jungs	guys
Konversation	conversation
Boot	boat
Mutti	mom
Lied	song
Frucht	fruit
Gesetz	law
Haltung	attitude
Ansicht	opinion
Ausreißer	runaway
Job	job
Kohle	money
Mir	me
Schluß	ending
Fest	firmly
Gräfin	countess
Umgehungsstraße	bypass
Pack	pack
Dummheit	stupidity
Dummkopf	fool
Helm	helmet
Deckung	cover
Anzahl	number
Praktikum	internship
Anspruch	claim
Gut	good
Gold	gold
Schnabel	beak
Agentur	agency
Planet	planet
Trauma	trauma
Flecken	stains
Kult	cult
Dunkle	dark
Glasscheibe	glass pane
Erzählen	tell
Schuljahr	school year
Besinnung	reflection
Schlimmere	worse
Einsetzen	insert
Ansehen	view
Gelände	terrain
Motor	engine
Befürchtung	apprehension
Reifen	tires
Straßenseite	street side
Implantat	implant
Impuls	pulse
Internet	internet
Lichtstrahl	ray of light
Schlacht	battle
Städtchen	town
Hecke	hedge
Mikrofon	microphone
Siegerehrung	award ceremony
Pferd	horse
Tempo	tempo
Gleis	track
Gleichgewicht	balance
Lift	lift
Halle	hall
Knochenbruch	broken bone
Sanitäter	paramedic
Schuldgefühl	feeling of guilt
Bildungssystem	education system
Lücke	gap
Kerze	candle
Herd	stove
Schrei	scream
Spion	spy
Wein	wine
Gitter	grid
Terrasse	terrace
Oberkörper	upper body
Bewegung	movement
Sonnenlicht	sunlight
Unterlage	document
Einblick	insight
Heirat	marriage
Strauch	shrub
Baumbestand	trees
Gartenanlage	garden area
Lichtung	clearing
Bach	bach
Luke	hatch
Beleuchtung	lighting
Öffnung	opening
Schaufenster	store window
Apotheker	pharmacist
Gerechtigkeit	justice
Fläche	area
Willkür	arbitrariness
Gesetzmäßigkeit	legality
Seitenwand	side wall
Pille	pill
Staat	country
Ausbildungszeit	training time
Strömung	flow
Mitarbeiter	employees
Folge	consequence
Pfad	path
Wilde	savages
Anliegen	issue
Reisende	traveler
Nachfrage	demand
Kennenlernen	get to know
Erweiterung	extension
Schleier	veil
Spalt	gap
Fuchs	fox
Zuneigung	affection
Vielzahl	variety
Erstarrung	solidification
Wild	wild
Hälfte	half
Habgier	greed
Song	song
Verhalten	behave
Bestreben	aspiration
Wildnis	wilderness
Umwelt	environment
Dreck	dirt
Unachtsamkeit	carelessness
Fernglas	binoculars
Gemeinschaft	community
Höchste	highest
Hügel	hill
Campingplatz	campsite
Cent	cent
Rauch	smoke
Nässe	wetness
Frequenz	frequency
Bewußtlosigkeit	unconsciousness
Fußboden	floor
Können	can
Kreativität	creativity
Grenze	border
Schaf	sheep
Empfang	reception
Kontur	contour
Universum	universe
Wettbewerb	competition
Puppe	doll
Lehrerin	teacher
Volksschule	elementary school
Ehepaar	married couple
Ausklang	conclusion
Fragezeichen	question mark
Locke	locke
Schwachsinn	bullshit
Friedhof	cemetery
Glücksgefühl	feeling of happiness
Hering	herring
Feld	field
Botschaft	message
Durst	thirst
Kehle	throat
Artist	artist
Bahnsteig	platform
Prinz	prince
Heiland	saviour
Eigensinn	stubbornness
Reis	rice
Verspätung	tardiness
Eden	eden
Süden	south
Balken	bar
Lebenssituation	life situation
Absicht	intention
Dutzend	dozen
Kaninchen	rabbits
Weiher	pond
Arschloch	asshole
Fünf	five
Wirt	host
Baby	infant
Breite	width
Taille	waist
Lokal	local
Euro	euro
Beerdigung	burial
Sparbuch	passbook
Firma	company
Ehe	before
Glatze	bald
Elefant	elephant
Apartment	apartment
Bescheid	notice
Auftraggeber	client
Eisenbahn	railroad
Interesse	interest
Einzelne	separate
Gipfel	summit
Fernseher	tv
Jahrtausend	millennium
Kontrolle	control
Freiheit	freedom
Schiff	ship
Jäger	hunter
Abgrund	abyss
Abitur	high school diploma
Verantwortliche	responsible
Hinsicht	respect
Mitbewohner	roommate
Appartement	apartment
Badewanne	bathtub
Länge	length
Individuum	individual
Berg	mountain
Brauch	custom
Knospe	bud
Motiv	motive
Testament	testament
Lautstärke	volume
Eigen	own
Pore	pore
Flamme	flame
Verkehr	traffic
Erzieher	educator
E	e
Schimpfwort	swear word
Jugend	youth
Sarkasmus	sarcasm
Beschreibung	description
Kriegszustand	state of war
Presse	press
Erzählung	narrative
Schlagen	hit
Herzinfarkt	heart attack
Inhaftierte	detainees
Fürsorge	care
Mangel	shortage
Arzneimittel	drug
Strohhalm	drinking straw
Zettel	note
Ferien	holidays
Hinterkopf	back of head
Gerücht	rumor
Unschuld	innocence
Kerker	dungeon
Bettler	beggar
Dickicht	thicket
Farmer	farmer
Vertriebene	displaced people
Kreatur	creature
Anrufer	caller
Reiter	equestrian
Atlas	atlas
Streifen	stripes
Flanke	flank
Dreieck	triangle
Zumutung	impertinence
Eiche	oak
Gattung	genus
Puls	pulse
Eifersucht	jealousy
Wohnzimmer	living room
Schriftstück	document
Seuche	plague
Adjektiv	adjective
Alibi	alibi
Aussteigen	exit
Umkehr	repentance
Briefkasten	mailbox
Wirtin	landlady
Sozialismus	socialism
Sozialdemokratie	social democracy
Block	block
Operation	surgery
Handschrift	handwriting
Ansprache	speech
Palast	palace
Haustür	front door
Herzschlag	heartbeat
Glücksfall	stroke of luck
Überrest	remnant
Urlaubstag	holiday
Bewerbung	application
Akademie	academy
Umsatz	sales volume
Löwe	lion
